RRKM rate, sf=0.970, S*=-14.91, E0=1.15 and Delta=0.90
   En (eV)    k (s-1)
         0          0
  0.012398          0
  0.024796          0
  0.037194          0
  0.049593          0
  0.061991          0
  0.074389          0
  0.086787          0
  0.099185          0
   0.11158          0
   0.12398          0
   0.13638          0
   0.14878          0
   0.16118          0
   0.17357          0
   0.18597          0
   0.19837          0
   0.21077          0
   0.22317          0
   0.23556          0
   0.24796          0
   0.26036          0
   0.27276          0
   0.28516          0
   0.29756          0
   0.30995          0
   0.32235          0
   0.33475          0
   0.34715          0
   0.35955          0
   0.37194          0
   0.38434          0
   0.39674          0
   0.40914          0
   0.42154          0
   0.43393          0
   0.44633          0
   0.45873          0
   0.47113          0
   0.48353          0
   0.49593          0
   0.50832          0
   0.52072          0
   0.53312          0
   0.54552          0
   0.55792          0
   0.57031          0
   0.58271          0
   0.59511          0
   0.60751          0
   0.61991          0
    0.6323          0
    0.6447          0
    0.6571          0
    0.6695          0
    0.6819          0
    0.6943          0
   0.70669          0
   0.71909          0
   0.73149          0
   0.74389          0
   0.75629          0
   0.76868          0
   0.78108          0
   0.79348          0
   0.80588          0
   0.81828          0
   0.83067          0
   0.84307          0
   0.85547          0
   0.86787          0
   0.88027          0
   0.89267          0
   0.90506          0
   0.91746          0
   0.92986          0
   0.94226          0
   0.95466          0
   0.96705          0
   0.97945          0
   0.99185          0
    1.0042          0
    1.0166          0
     1.029          0
    1.0414          0
    1.0538          0
    1.0662          0
    1.0786          0
     1.091          0
    1.1034          0
    1.1158          0
    1.1282          0
    1.1406          0
     1.153   0.022429
    1.1654   0.054282
    1.1778    0.13152
    1.1902    0.23629
    1.2026    0.41117
     1.215    0.66629
    1.2274     1.0306
    1.2398     1.5664
    1.2522     2.2808
    1.2646     3.2962
     1.277     4.6188
    1.2894     6.4039
    1.3018     8.7039
    1.3142     11.687
    1.3266     15.495
     1.339       20.3
    1.3514     26.352
    1.3638     33.847
    1.3762      43.14
    1.3886     54.499
     1.401      68.37
    1.4134     85.144
    1.4258     105.36
    1.4382     129.57
    1.4506     158.42
     1.463     192.65
    1.4754     233.06
    1.4878      280.6
    1.5002     336.26
    1.5126     401.21
     1.525      476.7
    1.5374     564.15
    1.5498     665.11
    1.5622      781.3
    1.5746     914.62
     1.587     1067.1
    1.5994     1241.1
    1.6118       1439
    1.6242     1663.7
    1.6366     1917.9
     1.649       2205
    1.6613     2528.4
    1.6737       2892
    1.6861     3299.8
    1.6985     3756.3
    1.7109     4266.2
    1.7233     4834.7
    1.7357     5467.4
    1.7481     6170.1
    1.7605     6949.3
    1.7729     7811.9
    1.7853       8765
    1.7977     9816.6
    1.8101      10975
    1.8225      12249
    1.8349      13648
    1.8473      15183
    1.8597      16864
    1.8721      18702
    1.8845      20709
    1.8969      22900
    1.9093      25285
    1.9217      27881
    1.9341      30703
    1.9465      33765
    1.9589      37087
    1.9713      40684
    1.9837      44576
    1.9961      48782
    2.0085      53324
    2.0209      58223
    2.0333      63502
    2.0457      69184
    2.0581      75296
    2.0705      81863
    2.0829      88914
    2.0953      96475
    2.1077 1.0458e+05
    2.1201 1.1326e+05
    2.1325 1.2254e+05
    2.1449 1.3247e+05
    2.1573 1.4307e+05
    2.1697 1.5439e+05
    2.1821 1.6646e+05
    2.1945 1.7932e+05
    2.2069 1.9302e+05
    2.2193  2.076e+05
    2.2317 2.2311e+05
    2.2441 2.3959e+05
    2.2565 2.5709e+05
    2.2689 2.7567e+05
    2.2813 2.9536e+05
    2.2937 3.1625e+05
    2.3061 3.3837e+05
    2.3185 3.6179e+05
    2.3308 3.8656e+05
    2.3432 4.1276e+05
    2.3556 4.4045e+05
     2.368 4.6969e+05
    2.3804 5.0056e+05
    2.3928 5.3313e+05
    2.4052 5.6746e+05
    2.4176 6.0365e+05
      2.43 6.4177e+05
    2.4424 6.8189e+05
    2.4548 7.2412e+05
    2.4672 7.6853e+05
    2.4796 8.1521e+05
     2.492 8.6425e+05
    2.5044 9.1576e+05
    2.5168 9.6983e+05
    2.5292 1.0266e+06
    2.5416 1.0861e+06
     2.554 1.1484e+06
    2.5664 1.2138e+06
    2.5788 1.2822e+06
    2.5912 1.3539e+06
    2.6036 1.4289e+06
     2.616 1.5073e+06
    2.6284 1.5893e+06
    2.6408  1.675e+06
    2.6532 1.7646e+06
    2.6656 1.8582e+06
     2.678 1.9558e+06
    2.6904 2.0577e+06
    2.7028  2.164e+06
    2.7152 2.2749e+06
