RRKM rate, sf=0.970, S*=-13.64, E0=1.12 and Delta=0.89
   En (eV)    k (s-1)
         0          0
  0.012398          0
  0.024796          0
  0.037194          0
  0.049593          0
  0.061991          0
  0.074389          0
  0.086787          0
  0.099185          0
   0.11158          0
   0.12398          0
   0.13638          0
   0.14878          0
   0.16118          0
   0.17357          0
   0.18597          0
   0.19837          0
   0.21077          0
   0.22317          0
   0.23556          0
   0.24796          0
   0.26036          0
   0.27276          0
   0.28516          0
   0.29756          0
   0.30995          0
   0.32235          0
   0.33475          0
   0.34715          0
   0.35955          0
   0.37194          0
   0.38434          0
   0.39674          0
   0.40914          0
   0.42154          0
   0.43393          0
   0.44633          0
   0.45873          0
   0.47113          0
   0.48353          0
   0.49593          0
   0.50832          0
   0.52072          0
   0.53312          0
   0.54552          0
   0.55792          0
   0.57031          0
   0.58271          0
   0.59511          0
   0.60751          0
   0.61991          0
    0.6323          0
    0.6447          0
    0.6571          0
    0.6695          0
    0.6819          0
    0.6943          0
   0.70669          0
   0.71909          0
   0.73149          0
   0.74389          0
   0.75629          0
   0.76868          0
   0.78108          0
   0.79348          0
   0.80588          0
   0.81828          0
   0.83067          0
   0.84307          0
   0.85547          0
   0.86787          0
   0.88027          0
   0.89267          0
   0.90506          0
   0.91746          0
   0.92986          0
   0.94226          0
   0.95466          0
   0.96705          0
   0.97945          0
   0.99185          0
    1.0042          0
    1.0166          0
     1.029          0
    1.0414          0
    1.0538          0
    1.0662          0
    1.0786          0
     1.091          0
    1.1034          0
    1.1158          0
    1.1282   0.037236
    1.1406   0.089922
     1.153     0.2174
    1.1654    0.38978
    1.1778    0.67688
    1.1902     1.0819
    1.2026     1.6793
     1.215     2.5296
    1.2274     3.6839
    1.2398     5.2954
    1.2522     7.4017
    1.2646     10.237
     1.277     13.868
    1.2894     18.594
    1.3018     24.568
    1.3142     32.142
    1.3266     41.607
     1.339     53.355
    1.3514     67.853
    1.3638     85.565
    1.3762     107.15
    1.3886     133.19
     1.401     164.55
    1.4134     202.01
    1.4258     246.62
    1.4382     299.43
    1.4506     361.73
     1.463     434.87
    1.4754      520.4
    1.4878     620.07
    1.5002     735.76
    1.5126     869.62
     1.525     1023.9
    1.5374     1201.4
    1.5498     1404.6
    1.5622       1637
    1.5746     1901.6
     1.587     2202.5
    1.5994     2543.4
    1.6118       2929
    1.6242     3363.9
    1.6366     3853.4
     1.649       4403
    1.6613     5018.9
    1.6737     5707.7
    1.6861     6476.3
    1.6985     7332.4
    1.7109     8284.3
    1.7233     9340.7
    1.7357      10511
    1.7481      11805
    1.7605      13234
    1.7729      14809
    1.7853      16543
    1.7977      18449
    1.8101      20540
    1.8225      22831
    1.8349      25338
    1.8473      28078
    1.8597      31069
    1.8721      34329
    1.8845      37877
    1.8969      41736
    1.9093      45926
    1.9217      50472
    1.9341      55397
    1.9465      60728
    1.9589      66492
    1.9713      72718
    1.9837      79435
    1.9961      86676
    2.0085      94473
    2.0209 1.0286e+05
    2.0333 1.1188e+05
    2.0457 1.2156e+05
    2.0581 1.3195e+05
    2.0705 1.4308e+05
    2.0829 1.5501e+05
    2.0953 1.6777e+05
    2.1077 1.8141e+05
    2.1201 1.9599e+05
    2.1325 2.1156e+05
    2.1449 2.2816e+05
    2.1573 2.4586e+05
    2.1697 2.6471e+05
    2.1821 2.8478e+05
    2.1945 3.0612e+05
    2.2069  3.288e+05
    2.2193  3.529e+05
    2.2317 3.7847e+05
    2.2441  4.056e+05
    2.2565 4.3437e+05
    2.2689 4.6483e+05
    2.2813 4.9709e+05
    2.2937 5.3122e+05
    2.3061 5.6732e+05
    2.3185 6.0547e+05
    2.3308 6.4576e+05
    2.3432  6.883e+05
    2.3556 7.3317e+05
     2.368 7.8049e+05
    2.3804 8.3037e+05
    2.3928  8.829e+05
    2.4052  9.382e+05
    2.4176  9.964e+05
      2.43 1.0576e+06
    2.4424  1.122e+06
    2.4548 1.1896e+06
    2.4672 1.2606e+06
    2.4796 1.3351e+06
     2.492 1.4133e+06
    2.5044 1.4953e+06
    2.5168 1.5813e+06
    2.5292 1.6714e+06
    2.5416 1.7657e+06
     2.554 1.8645e+06
    2.5664 1.9678e+06
    2.5788  2.076e+06
    2.5912  2.189e+06
    2.6036 2.3072e+06
     2.616 2.4306e+06
    2.6284 2.5596e+06
    2.6408 2.6942e+06
    2.6532 2.8346e+06
    2.6656 2.9811e+06
     2.678 3.1339e+06
    2.6904 3.2932e+06
    2.7028 3.4592e+06
